Designator,Mid X,Mid Y,Rotation,Layer
C1,107.188,-62.992,-90.0,top
C10,138.176,-65.786,-90.0,top
C11,138.176,-69.342,90.0,top
C12,117.094,-66.548,-90.0,top
C13,130.556,-88.9,0.0,top
C14,130.556,-90.932,180.0,top
C15,136.906,-79.502,90.0,top
C16,139.065,-79.502,90.0,top
C17,141.224,-79.502,90.0,top
C18,99.568,-87.884,-90.0,top
C19,97.536,-87.884,-90.0,top
C2,105.156,-62.992,-90.0,top
C20,95.504,-87.884,-90.0,top
C21,93.472,-87.884,-90.0,top
C22,113.538,-86.9935,-90.0,top
C23,116.078,-86.9935,-90.0,top
C24,109.22,-89.7875,-90.0,top
C3,103.124,-62.992,-90.0,top
C4,101.092,-62.992,-90.0,top
C5,117.856,-74.422,90.0,top
C6,115.57,-74.422,90.0,top
C7,124.46,-66.802,-90.0,top
C8,122.428,-66.802,90.0,top
C9,140.208,-69.342,90.0,top
D1,134.62,-73.406,0.0,top
D2,116.332,-71.374,180.0,top
D3,124.46,-73.66,180.0,top
D4,143.764,-80.264,90.0,top
D5,114.046,-90.0415,0.0,top
D6,129.54,-75.184,180.0,top
FB1,122.682,-71.374,0.0,top
FB2,120.142,-90.17,0.0,top
J1,104.394,-100.315,-90.0,top
J2,143.281,-68.595,0.0,top
J3,92.964,-69.469,-90.0,top
J4,98.298,-77.47,-90.0,top
L1,101.9825,-76.962,0.0,top
L2,114.808,-93.218,-90.0,top
R1,107.188,-66.548,-90.0,top
R10,120.396,-62.484,-90.0,top
R11,99.568,-92.0735,-90.0,top
R12,97.536,-92.0735,-90.0,top
R13,95.504,-92.0735,-90.0,top
R14,93.472,-92.0735,-90.0,top
R15,123.19,-92.71,0.0,top
R16,123.19,-94.869,180.0,top
R17,123.19,-97.028,180.0,top
R2,105.156,-66.548,-90.0,top
R3,103.124,-66.548,-90.0,top
R4,101.092,-66.548,-90.0,top
R5,106.426,-69.342,180.0,top
R6,119.888,-70.358,-90.0,top
R7,129.286,-64.008,0.0,top
R8,125.476,-64.008,0.0,top
R9,120.396,-66.802,-90.0,top
U1,112.014,-67.056,180.0,top
U2,131.064,-68.58,0.0,top
U3,104.394,-91.8195,180.0,top
U4,127.581,-82.042,180.0,top
